"Tool","Tool Version","Format","Issue Provider","Supported Since"
"[checkov](https://www.checkov.io/){target='_blank'}",,"[SARIF](https://www.checkov.io/2.Basics/CLI%20Command%20Reference.html){target='_blank'}","[Cake.Issues.Sarif](issue-providers/sarif/index.md)",4.2.0
"[DevSkim](https://github.com/microsoft/DevSkim){target='_blank'}",,[sarif](https://github.com/microsoft/DevSkim/wiki/Analyze-Command#output-file-and-format),"[Cake.Issues.Sarif](issue-providers/sarif/index.md)",4.2.0
"[gitleaks](https://gitleaks.io/){target='_blank'}",,[sarif](https://github.com/gitleaks/gitleaks?tab=readme-ov-file#reporting),"[Cake.Issues.Sarif](issue-providers/sarif/index.md)",4.2.0
"[secretlint](https://github.com/secretlint/secretlint){target='_blank'}",,[sarif](https://github.com/secretlint/secretlint?tab=readme-ov-file#sarif-format-support),"[Cake.Issues.Sarif](issue-providers/sarif/index.md)",4.2.0
"[semgrep](https://semgrep.dev/){target='_blank'}",,[sarif](https://semgrep.dev/docs/getting-started/cli#scan-your-project),"[Cake.Issues.Sarif](issue-providers/sarif/index.md)",4.2.0
