"Tool","Tool Version","Format","Issue Provider","Supported Since","Remarks"
"[Ansible-lint](https://ansible.readthedocs.io/projects/lint/){target='_blank'}",,"[SARIF](https://ansible.readthedocs.io/projects/lint/usage/#sarif-json){target='_blank'}","[Cake.Issues.Sarif](issue-providers/sarif/index.md)",4.2.0,
"[checkov](https://www.checkov.io/){target='_blank'}",,"[SARIF](https://www.checkov.io/2.Basics/CLI%20Command%20Reference.html){target='_blank'}","[Cake.Issues.Sarif](issue-providers/sarif/index.md)",4.2.0,
"[kics](https://kics.io/){target='_blank'}",,"[sarif](https://github.com/Checkmarx/kics/blob/master/docs/results.md#sarif){target='_blank'}","[Cake.Issues.Sarif](issue-providers/sarif/index.md)",4.2.0,
