"Tool","Tool Version","Format","Issue Provider","Supported Since"
"[eslint-plugin-json](https://www.npmjs.com/package/eslint-plugin-json){target='_blank'}",,,"[Cake.Issues.EsLint](issue-providers/eslint/index.md)",0.1.0
"[eslint-plugin-jsonc](https://www.npmjs.com/package/eslint-plugin-jsonc){target='_blank'}",,,"[Cake.Issues.EsLint](issue-providers/eslint/index.md)",0.1.0
